client_id,date_souscription,jour_souscription,secteur,pays,taille_entreprise,plan,anciennete_mois,sieges_souscrits,utilisateurs_actifs,taux_adoption_pct,connexions_30j,heures_usage_30j,fonctionnalites_total,fonctionnalites_utilisees,nb_integrations,derniere_connexion_jours,tickets_support_90j,delai_reponse_support_h,csat,retards_paiement_12m,revenu_mensuel_recurrent_eur,couleur_theme_interface,code_datacenter,groupe_experimentation,commentaire_csm,sante_compte_fin_periode,valeur_vie_client_eur,churn
CLI-003941,07 Aug 2023,lundi,Tech,,PME,Enterprise,18,48,30,62.5,20,"12,9",40,13,2,0,4,3.6,2,1,4048.98,clair,eu-w3,control,"Client insatisfait, risque de départ.",57,102925,0
CLI-004040,09 Jan 2025,jeudi, Commerce ,Suisse,PME,Pro,1,21,7,33.3,8,4.3,16,1,0,1,5,15.3,3,3,452.98,clair,ap-s1,A,,2,5572,1
CLI-003983,03 Aug 2023,jeudi,,France,PME,Pro,18,49,34,69.4,9,"2,2",16,7,6,0,5,"9,6",4,0,1347.12 €,bleu,eu-w3,A,,69,24302,0
CLI-004104,07 Nov 2024,jeudi,Éducation,France, PME ,Business,3,21,15,71.4,29,"22,1",26,11,1,1,9,10.2,1,1,934.34,violet,eu-w1,A,Mécontentement exprimé au support.,16,27582,1
CLI-001880,12 Mar 2023,dimanche, Industrie ,Suisse,PME,Business,23,54,16,29.6%,1,0.2,26,1,5,15,2,5.4,4,0,"2850,02",bleu,us-e1,B,Suivi standard.,86,142558,0
CLI-004286,07 Sep 2024,samedi,Éducation,Canada,ETI,Pro,5,50,26,52.0%,17,2.9,16,5,0,3,3,15.6,3,0,904.34,vert,ap-s1,A,,8,7416,1
CLI-000776,19 Apr 2023,mercredi,Éducation,Allemagne, PME ,pro,22,6,2,33.3,10,3.5,16,7,2,0,0,9.1 h,5,0,147.67 €,violet,us-e1,A,Compte dans la moyenne.,44,7023,1
CLI-002116,08 Jan 2025,mercredi,Tech,France,tpe,Pro,1,10,3,30.0,9,1.8,16,4,0,6,3,13.0,3,6,265.67 €,sombre,eu-w3,control,RAS.,16,2614,1
CLI-002327,27/09/2024,vendredi, Finance ,Espagne,ETI,Pro,4,184,69,37.5%,2,"0,8",16,3,1,5,2,,4,3,5007.19,sombre,us-e1,A,,18,32847,1
CLI-001766,29/12/2024,dimanche,Tech,Belgique,TPE,Starter,1,4,2,50.0%,27,"6,9",8,2,0,0,4,25.1,2,3,41.55,bleu,us-e1,B,Mécontentement exprimé au support.,1,300,1
CLI-003281,03/08/2024,samedi,Éducation,France,ETI, Enterprise ,6,174,24,13.8,1,0.1,40,6,2,8,7,"4,4",2,2,12836.49,clair,us-e1,B,,6,231570,1
CLI-001889,09/05/2023,mardi,Commerce,France, ETI ,ENTERPRISE,21,175,49,28.0%,8,1.5,40,14,5,5,3,3.4,4,0,14698.64,violet,ap-s1,B,,72,735226,0
CLI-004876,2023-10-07,samedi,Éducation,Belgique,TPE,Pro,16,11,2,18.2%,1,0.4,16,2,5,19,2,6.0,3,0,254.85,violet,eu-w1,control,Faible adoption des sièges.,69,3553,0
CLI-002512,03 Jul 2023,lundi,Santé,France, PME ,Starter,19,59,14,23.7,9,,8,2,5,3,5,29.2,2,0,"662,63",clair,us-e1,A,,18,23364,1
CLI-003021,08/10/2024,mardi,Éducation,Allemagne,tpe,Starter,4,11,3,27.3,10,3.1,8,1,0,1,1,18.0 h,3,3,"122,67",vert,eu-w1,control,Suivi standard.,43,704,0
CLI-003839,10/06/2024,lundi,Finance,France, TPE ,Starter,8,11,8,72.7,9,2.1,8,2,0,5,3,18.8,4,0,126.92,clair,ap-s1,A,,41,1873,0
CLI-001294,02 Oct 2024,mercredi,TECH,France,pme,Business,4,36,14,38.9,3,0.8,26,9,0,3,1,6.5,3,1,1336.52,violet,eu-w1,B,Compte dans la moyenne.,16,10959,1
CLI-001120,29/09/2024,dimanche,Santé,Allemagne,PME,Starter,4,52,17,,22,"7,0",8,4,3,7,0,,4,0,"507,42",violet,eu-w1,B,Client très satisfait et actif.,41,4993,0
CLI-000287,2024-04-02,mardi, Éducation ,Suisse, ETI ,Business,10,74,24,"32,4",6,0.3,26,10,2,1,6,"10,3",3,3,3664.1,bleu,eu-w3,B,,15,72109,1
CLI-000968,01/07/2024,lundi,Santé,Belgique,GE,pro,7,621,477,76.8%,57,36.3,16,7,1,0,4,15.6 h,1,3,20765.16 €,bleu,eu-w1,A,,22,204329,1
CLI-002784,12/09/2023,mardi,PUBLIC,France,TPE,Starter,17,7,6,85.7,35,13.2,8,3,6,0,0,14.6,5,0,64.93,vert,ap-s1,B,"Compte engagé, ambassadeur potentiel.",70,958,0
CLI-003552,10/05/2023,mercredi,TECH,France,GE,Business,21,267,115,43.1,13,"4,4",26,9,6,1,2,4.5,4,0,12910.68,sombre,eu-w1,control,Client très satisfait et actif.,91,222322,0
CLI-000966,11 Oct 2022,mardi, Industrie ,France,TPE,Pro,28,8,4,"50,0",25,7.6,16,3,10,1,2,9.4,4,0,239.0,violet,us-e1,B,,84,23518,0
CLI-003571,14 Jan 2024,dimanche,COMMERCE,Canada,PME,Starter,13,57,27,"47,4",22,9.9,8,4,1,0,8,36.3,1,0,910.94,clair,eu-w3,B,,0,62746,1
CLI-004756,11 Nov 2024,lundi,tech,Suisse,PME,PRO,3,22,14,63.6,33,"11,1",16,7,1,1,11,17.8,2,3,622.02 €,violet,us-e1,A,"Client insatisfait, risque de départ.",0,19892,1
CLI-001596,01/11/2023,mercredi,TECH,France,TPE, Starter ,15,4,1,25.0,1,"0,4",8,1,6,3,5,39.3,,0,"56,69",clair,eu-w1,A,,19,1395,1
CLI-002494,02/09/2023,samedi,Finance,Espagne,PME, Pro ,17,11,5,45.5,6,"3,1",16,6,3,0,6,16.5,2,0,,vert,eu-w1,control,,52,2555,0
CLI-000705,26/07/2024,vendredi,Commerce,France,TPE,STARTER,6,6,4,66.7,54,"33,5",8,4,2,1,3,28.1,,1,79.97,sombre,us-e1,A,RAS.,13,787,1
CLI-002744,07/04/2024,dimanche,TECH,France, TPE ,Pro,10,3,1,33.3,1,"0,5",16,4,0,4,5,14.2 h,1,1,65.58,bleu,eu-w3,A,,1,968,1
CLI-000670,2024-02-04,dimanche,Industrie,France, ETI ,Enterprise,12,199,0,"0,0",0,,40,0,0,114,0,2.0,5,0,18484.05,violet,us-e1,control,Usage en forte baisse ce trimestre.,0,333452,1
CLI-003631,2023-10-31,mardi,INDUSTRIE,France,PME,Pro,15,40,25,62.5,5,4.3,16,5,4,7,5,17.3,2,0,1153.19,bleu,ap-s1,control,,20,77540,1
CLI-002939,11 Oct 2024,vendredi,commerce,Espagne,ETI,enterprise,4,95,56,"58,9",38,10.5,40,20,0,0,8,3.3,2,1,7409.56,vert,eu-w3,A,,7,151896,1
CLI-002741,2024-06-02,dimanche,Tech,France, PME ,starter,8,8,4,50.0,5,2.1,8,0,1,0,0,26.4,3,1,78.68,vert,eu-w3,B,RAS.,45,2194,0
CLI-002792,2022-12-04,dimanche,Éducation,France,ETI,BUSINESS,26,141,0,"0,0",0,0.0,26,0,0,113,1,4.7,4,0,5812.66 €,clair,eu-w1,control,Usage en forte baisse ce trimestre.,0,119160,1
CLI-000057,15 Feb 2024,jeudi,Industrie,Suisse,ETI, Pro ,12,114,36,31.6%,1,0.2,16,3,,1,1,10.9,2,,"3457,65",clair,us-e1,A,"Client insatisfait, risque de départ.",42,56705,0
CLI-004647,2023-10-03,mardi,COMMERCE,France,TPE,Starter,16,5,2,40.0%,11,4.7,8,4,2,6,3,29.2,4,0,48.4,vert,us-e1,control,Suivi standard.,28,397,1
CLI-003608,2023-04-15,samedi,TECH,Suisse,TPE,starter,22,3,2,66.7%,46,22.4,8,4,3,0,3,30.6,2,0,41.6,sombre,us-e1,A,"Client insatisfait, risque de départ.",67,1023,0
CLI-000220,30 Oct 2023,lundi,Santé,France,eti, Business ,15,169,138,81.7,38,"29,0",26,7,4,1,0,6.1,3,0,"9036,52",violet,us-e1,B,,75,103739,0
CLI-001315,30/05/2024,jeudi,Tech,Espagne,ETI, Pro ,8,167,122,73.1,15,2.2,16,8,2,10,0,6.9 h,5,,3470.42 €,bleu,us-e1,B,Suivi standard.,65,71144,0
CLI-000741,05 Mar 2024,mardi,Santé,Espagne,PME, Business ,11,44,10,22.7,8,,26,6,0,2,0,3.9,,0,2254.37,vert,eu-w3,A,,56,64700,0
CLI-002297,15 Jun 2023,jeudi,Commerce,France,ETI,Pro,20,202,164,81.2%,49,22.5,16,7,6,1,3,13.5,3,0,4923.5,clair,ap-s1,A,Suivi standard.,80,363354,0
CLI-001259,2024-10-26,samedi,,France,TPE,Business,3,3,2,,16,3.8,26,12,1,1,4,7.5,4,0,,sombre,eu-w1,B,RAS.,56,1688,0
CLI-000184,04/09/2024,mercredi,Éducation,Belgique,PME,PRO,5,46,35,76.1,78,51.6,16,9,2,3,5,11.5,4,0,"1238,96",violet,us-e1,B,Compte dans la moyenne.,46,16255,0
CLI-000910,23 Dec 2024,lundi,TECH,France,PME,Business,1,28,0,"0,0",0,0.0,26,0,0,30,1,8.8,3,1,"1397,26",bleu,eu-w3,control,Déploiement interne limité.,10,36664,1
CLI-003978,2024-04-12,vendredi,FINANCE,France,eti,Pro,10,123,106,86.2,46,"20,6",16,5,2,0,1,7.2,5,1,3020.34,sombre,us-e1,control,Suivi standard.,60,86684,0
CLI-001559,10 Oct 2024,jeudi,,France, PME ,Pro,4,20,0,0.0,0,0.0,16,0,0,120,0,9.1,2,1,"474,15",bleu,eu-w3,B,,0,8554,1
CLI-001554,30 May 2024,jeudi, Industrie ,Suisse,tpe,Starter,8,11,5,,10,3.6,8,2,0,1,2,"22,5",,2,120.37,vert,eu-w3,A,,33,1382,0
CLI-004892,13 Feb 2024,mardi, Santé ,Canada,ETI,Pro,12,180,131,"72,8",63,48.3,16,7,9,1,2,"15,2",3,0,"4221,41",vert,eu-w1,B,RAS.,73,90000,0
CLI-002479,2023-04-08,samedi,Finance,France,PME,Business,22,33,14,42.4,3,"1,4",26,4,3,2,5,5.7,3,0,1842.43 €,sombre,eu-w3,control,RAS.,54,71007,0
CLI-004973,04/08/2024,dimanche,Commerce,France,pme,Starter,6,51,21,41.2,20,"13,8",8,3,0,0,4,23.9,4,3,685.44,vert,eu-w3,A,,17,19110,1
CLI-004419,2023-09-30,samedi,TECH,France,pme,Business,16,27,5,18.5,1,0.1,26,7,5,17,5,8.3,5,0,1320.19,sombre,us-e1,A,,69,31394,0
CLI-003666,05/09/2024,jeudi,Santé,Allemagne,tpe,Business,5,10,8,80.0,45,23.1,26,13,1,1,5,8.7,3,1,"451,68",sombre,eu-w3,B,,23,2593,1
CLI-004852,30/07/2024,mardi,Santé,France,TPE,Pro,6,1,1,100.0%,49,39.4,16,9,1,2,2,5.6,4,0,"24,99",vert,ap-s1,A,,47,676,0
CLI-001190,31 Mar 2024,dimanche,finance,France,TPE,Enterprise,10,1,1,"100,0",63,32.0,40,23,,1,1,0.5,3,1,75.56,clair,eu-w1,control,,32,1859,1
CLI-001713,2023-10-02,lundi, Industrie ,France,PME,BUSINESS,16,46,38,82.6,61,53.8,26,14,6,1,2,"3,7",3,0,2378.8,sombre,eu-w1,control,Compte dans la moyenne.,70,78025,0
CLI-003665,23 Dec 2024,lundi, Santé ,France,TPE,Starter,1,8,4,"50,0",42,,8,5,0,2,0,29.2 h,4,1,"96,45",sombre,us-e1,control,Suivi standard.,25,1345,1
CLI-002212,2024-03-30,samedi,Industrie,France,ETI,Business,10,210,122,58.1,33,"9,4",26,10,1,0,0,2.3,3,1,"6905,92",violet,eu-w3,control,,63,79280,0
CLI-004449,16/03/2023,jeudi,éducation,France,TPE,Pro,23,1,1,100.0,37,3.2,16,8,7,1,1,9.9,4,0,21.54,sombre,us-e1,A,Client très satisfait et actif.,59,300,0
CLI-000315,06/09/2023,mercredi,INDUSTRIE,France, ETI ,business,17,207,169,81.6,96,"52,2",26,22,4,0,2,6.4,,0,12154.85,clair,eu-w3,B,,70,1056500,0
CLI-002474,2024-06-04,mardi,Santé,Allemagne, GE ,Business,8,814,0,0.0,0,"0,0",26,0,0,63,0,1.5,2,2,30549.69,clair,ap-s1,B,,2,826675,1
CLI-000429,2024-11-29,vendredi,Tech,France,TPE,Starter,2,7,2,28.6,1,"0,1",8,2,0,16,0,"14,2",4,0,75.12,bleu,us-e1,B,,41,370,0
CLI-001977,31/12/2024,mardi,,France,PME, Business ,1,18,11,61.1,30,15.0,26,13,0,0,5,8.6,3,5,522.5,vert,us-e1,A,,17,2571,1
CLI-000446,30/12/2024,lundi,COMMERCE,,pme, Pro ,1,12,8,66.7%,41,11.8,16,8,1,1,2,14.4 h,4,0,323.8,sombre,ap-s1,A,,56,16993,0
CLI-000737,04 Apr 2023,mardi,Industrie,France, TPE ,Starter,22,9,3,33.3%,2,1.0,8,3,8,2,1,17.3,3,0,112.4,clair,us-e1,A,,73,553,0
CLI-002578,2025-01-07,mardi,Industrie,France,tpe,Pro,1,9,6,66.7,29,,16,7,1,1,6,14.1,2,3,225.83,sombre,us-e1,A,Mécontentement exprimé au support.,2,3889,1
CLI-003320,10/02/2024,samedi,Industrie,France,ETI,enterprise,12,179,99,55.3,27,17.4,40,7,1,2,1,"5,7",4,0,15251.95 €,bleu,us-e1,A,,55,262639,0
CLI-000090,31 Dec 2024,mardi,,Canada,PME, Pro ,1,11,7,"63,6",6,"0,4",16,8,0,2,3,22.0 h,3,1,275.54,violet,ap-s1,control,RAS.,6,5423,1
CLI-000760,01 Jan 2025,mercredi,Finance,France,tpe,Business,1,3,1,33.3,10,1.3,26,4,0,0,2,3.5 h,4,1,"106,41",bleu,us-e1,A,,43,436,0
CLI-004750,08 Jan 2025,mercredi,Éducation,France,PME, Starter ,1,27,0,0.0,0,,8,0,0,30,7,27.6,2,0,338.06,clair,us-e1,A,,0,3327,1
CLI-002294,2025-01-06,lundi,PUBLIC,Suisse, ETI ,Enterprise,1,49,18,36.7,3,,40,1,0,11,3,6.2 h,1,0,3463.2,violet,ap-s1,B,Mécontentement exprimé au support.,9,31238,1
CLI-001949,28/03/2024,jeudi,Industrie,France,PME,Pro,10,29,14,"48,3",12,,16,3,5,4,10,"14,2",3,1,754.95,vert,eu-w1,control,Support très sollicité récemment.,15,10524,1
CLI-003850,05 Oct 2023,jeudi,Commerce,France, TPE ,Pro,16,9,6,66.7,26,22.1,16,5,1,0,4,"14,4",4,0,235.03,sombre,eu-w1,control,,70,6745,0
CLI-002310,2023-05-14,dimanche,,,PME,Enterprise,21,24,9,37.5,1,0.1,40,3,5,15,11,"7,5",1,0,1730.32,clair,ap-s1,B,,54,12770,0
CLI-003686,2024-11-23,samedi,Industrie,France,PME,Pro,2,14,8,57.1,32,12.3,16,7,1,5,6,13.4,3,0,"318,51",bleu,ap-s1,B,Suivi standard.,5,1306,1
CLI-002533,13 Jun 2023,mardi,Finance,Suisse,GE,Business,20,125,27,21.6%,6,0.5,26,2,7,2,8,5.1,2,0,5248.28,sombre,eu-w1,A,,51,60250,0
CLI-001775,28/04/2024,dimanche,Industrie,France,ETI,enterprise,9,69,35,50.7,26,8.9,40,18,1,1,3,4.0,2,0,5728.94,bleu,eu-w3,B,"Client insatisfait, risque de départ.",62,117443,0
CLI-001292,03 Jun 2024,lundi,tech,France, PME ,Business,8,53,5,9.4,1,0.1,26,3,1,0,3,,3,0,"2608,78",bleu,us-e1,A,,30,32088,1
CLI-000144,12 Feb 2024,lundi,industrie,Allemagne, TPE , Business ,12,10,2,20.0,1,,26,10,2,3,4,8.6,2,,455.52 €,bleu,eu-w3,B,,11,5603,1
CLI-004115,15 Feb 2024,jeudi,Industrie,France,TPE,STARTER,12,7,5,71.4%,35,"17,1",8,2,3,0,9,,1,1,83.59,violet,eu-w3,A,"Client insatisfait, risque de départ.",9,2193,1
CLI-001466,2022-09-12,lundi,,France,pme,ENTERPRISE,29,51,38,74.5,82,55.6,40,22,9,1,2,2.8,4,0,4026.32,bleu,eu-w3,control,,92,118857,0
CLI-001244,10 Nov 2023,vendredi, Éducation ,France, TPE ,Starter,15,7,4,57.1,44,3.1,8,4,2,1,5,47.7,2,0,80.87,bleu,eu-w3,control,"Client insatisfait, risque de départ.",11,2056,1
CLI-002403,30 Oct 2023,lundi,santé,France,PME,Pro,15,42,9,21.4,1,"0,2",16,0,2,10,3,14.0,4,0,988.96,violet,eu-w3,B,,58,10542,0
CLI-001883,2023-04-06,jeudi, Tech ,Allemagne,PME,business,22,13,6,46.2%,28,"15,9",26,14,,1,1,6.9 h,2,0,538.72 €,sombre,eu-w3,A,,68,8835,0
CLI-001711,02 Apr 2024,mardi,Finance,France,TPE,Starter,10,5,4,80.0,72,41.2,8,4,1,0,3,28.2,4,2,"66,06",sombre,eu-w3,control,,49,2708,0
CLI-003301,14/04/2024,dimanche,Industrie,Canada,pme,Pro,10,57,25,43.9,22,2.9,16,4,2,4,0,6.4,5,1,1223.74,bleu,eu-w1,A,Suivi standard.,60,45156,0
CLI-002747,09 May 2023,mardi,TECH,France,TPE, Pro ,21,7,6,85.7,66,10.0,16,7,3,1,0,16.5,,0,206.15,bleu,us-e1,control,Suivi standard.,72,3381,0
CLI-004239,2024-08-01,jeudi, Santé ,France,TPE,Pro,6,4,1,25.0,1,"0,6",16,4,0,9,0,"9,4",4,1,107.5,clair,eu-w3,B,,53,2733,0
CLI-001668,08/06/2024,samedi,Industrie,France,pme, Business ,8,37,14,37.8,3,"1,6",26,5,2,2,7,6.7,2,0,1566.34,sombre,eu-w3,control,,20,37248,1
CLI-003646,14/03/2024,jeudi,Tech,France,PME,pro,11,14,7,50.0,12,8.2,16,6,4,0,0,8.2,4,1,"378,66",bleu,eu-w3,B,Client très satisfait et actif.,72,7763,0
CLI-003831,2024-10-12,samedi,Tech,France,PME, Pro ,4,25,10,40.0,12,"3,2",16,5,1,6,0,13.3,4,1,594.21,bleu,eu-w3,control,,44,6822,0
CLI-003353,03/01/2025,vendredi,Industrie,France,TPE,starter,1,8,5,"62,5",17,"11,2",8,4,,0,0,13.0,5,1,"81,54",sombre,ap-s1,A,Compte dans la moyenne.,61,1204,0
CLI-002298,12/02/2024,lundi,commerce,Espagne,GE,Business,12,880,453,51.5,27,12.2,26,11,1,1,0,6.9,,0,40374.98,vert,eu-w3,A,RAS.,66,1489837,0
CLI-002308,07 Sep 2023,jeudi,Commerce,France,PME,Pro,17,17,3,17.6,3,0.4,16,2,6,5,1,4.8,5,0,381.4,vert,eu-w3,A,,76,6568,0
CLI-002043,2023-06-04,dimanche,Commerce,Espagne,TPE, Starter ,20,3,1,"33,3",1,"0,5",8,2,6,13,2,19.2 h,4,,31.68,clair,ap-s1,B,Suivi standard.,71,300,0
CLI-001376,07/12/2023,jeudi,Santé,France, TPE ,Starter,14,1,1,100.0,17,5.4,8,2,1,2,3,"21,2",4,0,12.27,bleu,eu-w3,B,,28,300,1
CLI-002932,2024-01-31,mercredi,TECH,Suisse,PME,Pro,12,52,14,26.9,4,0.5,16,3,0,8,5,"16,0",3,0,1335.29,clair,eu-w3,A,,8,25184,1
CLI-000904,28/12/2024,samedi,Public,Canada,PME, Pro ,1,34,27,"79,4",35,"23,2",16,8,0,0,4,"16,7",,2,1014.53,bleu,eu-w3,control,,19,22462,1
CLI-004465,2024-02-28,mercredi,finance,France,PME,Starter,11,52,26,50.0,27,16.6,8,3,0,0,2,20.3 h,5,1,621.65,vert,eu-w3,A,,46,12234,0
CLI-001051,2022-11-04,vendredi,Commerce,Espagne,tpe, Starter ,27,6,2,33.3,1,"0,4",8,2,6,25,5,30.2,4,0,,violet,us-e1,control,,62,2303,0
CLI-004180,01/08/2024,jeudi,Industrie,Suisse,PME,Starter,6,15,11,73.3,10,0.5,8,1,2,1,0,17.6,4,2,170.1,clair,eu-w3,A,Compte dans la moyenne.,44,558,0
CLI-002383,2024-01-15,lundi, Éducation ,Espagne,PME,Enterprise,13,47,39,83.0%,61,38.1,40,32,5,0,0,0.5 h,5,0,4087.87,clair,eu-w1,A,,76,53633,0
CLI-004879,08 Jan 2024,lundi,PUBLIC,France, GE , Enterprise ,13,836,657,78.6,24,4.1,40,16,4,2,2,,,0,"69522,07",clair,us-e1,B,,66,855121,0
CLI-002902,02/10/2024,mercredi,FINANCE,Espagne,TPE,Starter,4,1,0,0.0,0,0.0,8,0,,120,2,18.2,4,0,12.4,violet,ap-s1,B,"Compte peu actif, relance nécessaire.",0,300,1
CLI-004977,2024-07-03,mercredi, Éducation ,Suisse,pme, Starter ,7,53,0,0.0,0,0.0,8,0,0,39,0,14.3 h,5,1,"593,51",violet,us-e1,A,Faible adoption des sièges.,41,9247,0
CLI-004221,11 Oct 2023,mercredi,SANTÉ,France,ETI,PRO,16,143,131,91.6%,64,51.6,16,10,7,1,0,3.5,5,0,4501.98,clair,eu-w1,B,,76,262105,0
CLI-002643,2023-09-30,samedi,COMMERCE,Allemagne, PME ,Pro,16,41,17,"41,5",6,1.7,16,4,2,12,0,0.5,4,0,811.93 €,vert,ap-s1,control,Compte dans la moyenne.,66,13981,0
CLI-000626,2024-05-06,lundi,FINANCE,France,TPE,Starter,9,10,3,30.0%,1,"0,1",8,1,4,19,0,12.4,4,1,121.65,vert,ap-s1,B,,50,1596,0
CLI-001093,04 Dec 2024,mercredi,finance,France,PME,Pro,2,25,14,56.0,28,9.8,16,8,0,1,1,"9,7",3,0,"714,02",bleu,ap-s1,A,RAS.,7,13466,1
CLI-001060,2023-10-11,mercredi,Industrie,Allemagne,PME,Business,16,25,21,"84,0",83,71.4,26,14,6,3,2,6.4,4,1,1388.95,bleu,eu-w3,B,,69,35307,0
CLI-001353,10/03/2023,vendredi, Éducation ,France,PME,BUSINESS,23,51,37,72.5,26,7.5,26,6,5,1,0,0.5,5,0,2120.05,vert,eu-w3,control,Client très satisfait et actif.,83,126906,0
CLI-004798,2024-12-02,lundi,Industrie,Suisse, PME ,Pro,2,46,20,"43,5",1,0.3,16,4,0,2,6,13.9,3,1,840.26,sombre,us-e1,control,Compte dans la moyenne.,6,4134,1
CLI-001808,2024-09-05,jeudi,Public,France, PME ,Starter,5,21,11,"52,4",16,5.7,8,4,2,0,1,17.5,4,1,196.01 €,clair,eu-w3,control,Compte dans la moyenne.,56,5947,0
CLI-001753,10 Apr 2024,mercredi,Tech,France,GE,Enterprise,10,695,285,41.0,19,9.2,40,16,1,1,2,2.8,3,0,60843.62,violet,eu-w1,control,RAS.,43,1347078,0
CLI-000166,2024-12-24,mardi, Industrie ,France,PME,PRO,1,20,4,20.0,1,"0,1",16,2,0,0,3,18.0,1,2,460.1,clair,ap-s1,B,"Client insatisfait, risque de départ.",10,7546,1
CLI-002266,11/12/2024,mercredi,COMMERCE,France,ge,Enterprise,2,214,171,79.9,51,"30,0",40,20,0,1,0,6.0,5,2,18867.81,vert,us-e1,B,Compte dans la moyenne.,62,371319,0
CLI-001066,09/11/2023,jeudi,Industrie,,ETI,Business,15,123,87,"70,7",72,"61,8",26,15,3,3,1,5.4,4,0,"6109,65",bleu,ap-s1,A,,85,601190,0
CLI-001658,2024-05-05,dimanche,Industrie,France,PME,Pro,9,53,46,86.8,76,35.7,16,8,0,0,4,18.0,4,2,1637.97,vert,ap-s1,control,,43,30892,0
CLI-000137,31/12/2024,mardi,Santé,Canada,TPE,STARTER,1,10,4,40.0,10,0.5,8,4,0,6,0,19.0,5,1,"103,52",violet,eu-w1,A,RAS.,38,679,0
CLI-002154,10 Jan 2024,mercredi,SANTÉ,France,ge,Business,13,831,151,18.2,1,,26,3,3,4,5,"3,8",3,1,39034.24 €,violet,eu-w1,B,,55,800202,0
CLI-000768,28 Dec 2024,samedi, Tech ,France,TPE,Starter,1,1,1,"100,0",81,"26,4",8,2,,0,0,19.0 h,4,5,"10,98",violet,eu-w1,B,Suivi standard.,20,300,1
CLI-000730,2023-09-15,vendredi,Finance,Belgique,PME,Starter,17,34,30,88.2,66,,8,4,3,1,4,33.7,3,0,460.14,sombre,eu-w1,control,RAS.,62,20375,0
CLI-001322,16 Mar 2024,samedi,commerce,,PME,business,11,51,34,66.7%,23,"8,8",26,9,4,0,6,7.9 h,,0,"2325,61",sombre,us-e1,control,Client très satisfait et actif.,59,70559,0
CLI-002757,17/02/2023,vendredi,Santé,France,TPE,Pro,24,9,5,55.6,41,20.8,16,10,7,0,0,6.4,,0,249.9,clair,ap-s1,A,Client très satisfait et actif.,83,6967,0
CLI-004640,2023-06-02,vendredi,Éducation,Espagne,ETI,Business,20,46,27,58.7%,46,14.9,26,17,5,0,0,,4,0,2361.5 €,violet,eu-w1,A,,89,61966,0
CLI-001850,10/06/2023,samedi,TECH,France, PME ,starter,20,33,17,51.5,32,"21,8",8,3,5,0,3,,4,0,"389,33",vert,us-e1,A,Client très satisfait et actif.,78,7343,0
CLI-004710,10 Jan 2024,mercredi,Santé,Suisse, PME ,Business,13,21,10,47.6,39,19.0,26,14,2,0,5,,,0,1048.07 €,vert,ap-s1,A,Mécontentement exprimé au support.,55,5157,0
CLI-004917,2024-01-13,samedi,Finance,France,eti,Business,13,182,62,34.1,13,"5,9",26,2,1,1,0,5.9 h,5,0,,sombre,us-e1,control,Compte dans la moyenne.,73,62098,0
CLI-000806,2024-01-15,lundi, Commerce ,Belgique,tpe,STARTER,13,1,1,100.0,39,"4,3",8,1,2,1,1,20.7,4,0,12.01 €,clair,us-e1,A,Suivi standard.,30,300,1
CLI-002662,09/01/2024,mardi,FINANCE,France,GE,Enterprise,13,431,37,8.6,1,0.1,40,4,2,24,0,1.2,4,0,29890.16 €,clair,eu-w1,B,,59,514709,0
CLI-001205,2023-11-02,jeudi,Tech,Allemagne, PME ,Pro,15,16,10,62.5,14,"4,6",16,8,5,5,1,11.7,4,0,375.12,vert,ap-s1,A,,54,2153,0
CLI-004182,07/08/2024,mercredi,finance,Espagne, ETI ,Business,6,140,115,"82,1",78,45.8,26,19,0,1,0,5.8,5,,6654.05 €,sombre,us-e1,control,,54,92757,0
CLI-003586,02/10/2023,lundi,INDUSTRIE,France,ETI,Pro,16,99,67,67.7%,51,"7,4",16,5,4,1,5,17.6 h,3,0,2542.79,vert,us-e1,control,RAS.,54,135531,0
CLI-000260,11/06/2024,mardi,Commerce,France, PME ,Business,8,49,18,36.7,9,"3,9",26,8,0,1,0,"0,5",5,3,2607.96,clair,eu-w1,B,,16,72710,1
CLI-000174,14 Apr 2024,dimanche,finance,Suisse,PME,Starter,10,6,5,83.3,81,"23,2",8,4,2,0,0,15.6,5,0,68.8,vert,eu-w1,control,,59,508,0
CLI-000631,01 Jan 2025,mercredi, Santé ,Belgique,PME,Business,1,29,5,17.2,1,"0,1",26,3,0,1,1,0.7 h,3,3,"1097,2",vert,eu-w1,B,,43,8097,0
CLI-000264,19 May 2023,vendredi,Santé,Canada,ETI,enterprise,21,115,78,67.8,39,16.7,40,23,6,0,0,1.3,,0,"8651,89",vert,us-e1,A,,77,262498,0
CLI-004776,20 Jun 2023,mardi,Éducation,France, TPE ,Pro,20,10,8,80.0%,83,"85,6",16,9,7,0,0,4.8,5,0,235.0 €,sombre,us-e1,B,"Compte engagé, ambassadeur potentiel.",89,5010,0
CLI-002995,11/10/2024,vendredi,,France, TPE ,Pro,4,2,2,100.0,60,27.0,16,6,1,3,0,6.9 h,,3,50.02,bleu,eu-w3,A,,56,3322,0
CLI-003865,12 Mar 2024,mardi,FINANCE,,TPE,starter,11,11,1,9.1%,1,"0,2",8,1,2,1,1,17.4,4,0,"129,37",violet,eu-w1,control,Déploiement interne limité.,24,1273,1
CLI-004059,29 Jun 2024,samedi, Santé ,Belgique,TPE,Starter,7,10,2,20.0%,2,0.6,8,1,4,1,0,17.7,4,2,87.0,vert,eu-w1,control,Déploiement interne limité.,46,428,0
